id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
2699,The Panorama,12 Ang Mo Kio Ave 2,1.376027406,103.8347307,0,3,2,0,5,5,0,1020000,678,2,2,Condominium,2019,99-year Leasehold,3.500016232,3.57,KEBUN BAHRU
2700,One-North Residences,7 One-North Gateway,1.302204401,103.7899075,3,0,3,0,5,5,2,1498000,980,2,2,Apartment,2009,99-year Leasehold,2.5,4.15,ONE NORTH
2701,Queens Peak,Dundee Road,1.294852636,103.8071651,1,1,2,0,5,0,1,1890000,937,3,2,Condominium,0,99-year Leasehold,4.9,4.85,MARGARET DRIVE
2702,Waterfront Isle,738 Bedok Reservoir Road,1.337520379,103.9278209,1,1,4,0,5,1,0,1110000,915,2,2,Condominium,2015,99-year Leasehold,2.7472375,2.95,BEDOK RESERVOIR
2703,Riversound Residence,3 Sengkang East Avenue,1.381184867,103.9025754,0,0,3,0,5,0,1,1360000,1163,4,3,Condominium,2015,99-year Leasehold,3,2.6,RIVERVALE
2704,Leedon Residence,12 Leedon Heights,1.313321358,103.8022988,1,1,0,0,2,0,0,5500000,2109,3,4,Condominium,2015,Freehold,1.757219636,4.27,FARRER COURT
2705,"Modern Design Like-New Semi-D, 1 Km to Henry Park Pri and walk to MRT, market and open parks!",Holland Grove Drive,1.313712963,103.7814118,0,0,1,0,3,5,0,8280000,7000,5,6,Semi-Detached House,2016,Freehold,0,0, 
2706,604 Clementi West Street 1,604 Clementi West Street 1,1.305427774,103.7674933,0,1,4,0,5,2,1,640000,1280,3,2,HDB Flat,1978,99-year Leasehold,0,0, 
2707,14 Dover Close East,14 Dover Close East,1.305563812,103.7855952,0,0,4,0,5,2,2,860000,1227,3,2,HDB Flat,1977,99-year Leasehold,0,0, 
2708,120A Edgedale Plains,120A Edgedale Plains,1.394512179,103.9079643,0,1,3,0,5,0,2,650000,1216,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2709,Bishan Point,61 Bright Hill Drive,1.359659385,103.832692,0,0,2,0,5,4,1,1080000,936,2,2,Condominium,2005,99-year Leasehold,2.8,0,UPPER THOMSON
2710,Charming 2. 5sty Detached @ Lengkok Mariam,Lengkok Mariam,1.363209155,103.9686562,0,0,2,0,0,4,1,6280000,4700,5,5,Detached House,0,Freehold,0,0, 
2711,338D Anchorvale Crescent,338D Anchorvale Crescent,1.39970005,103.8887141,0,0,3,0,5,1,0,490000,1001,3,2,HDB Flat,2017,99-year Leasehold,0,0, 
2712,The Poiz Residences,2 Meyappa Chettiar Road,1.332027297,103.8686595,2,0,2,0,5,1,1,1355000,753,2,2,Apartment,2018,99-year Leasehold,3.500006192,4.53,POTONG PASIR
2713,Viz at Holland,221 Queensway,1.308440903,103.8019294,1,1,0,0,3,0,0,1530000,861,2,2,Condominium,2008,Freehold,1.6,3.46,LEEDON PARK
2714,Nine Residences,12 Yishun Avenue 9,1.432818906,103.8414776,0,0,5,0,5,0,1,1000000,904,3,2,Apartment,2017,99-year Leasehold,2.8,3.24,YISHUN EAST
2715,Kingsford Waterbay,68 Upper Serangoon View,1.373777671,103.9029702,0,0,1,0,1,0,0,630000,473,1,1,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
2716,Robin Suites,25 Robin Road,1.317691725,103.8287695,1,0,1,0,5,1,0,1100000,463,1,1,Apartment,2016,Freehold,2.1,5.3,NASSIM
2717,315B Punggol Way,315B Punggol Way,1.407956027,103.8964008,0,0,2,0,5,0,1,480000,1000,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2718,Commonwealth Towers,232 Commonwealth Avenue,1.295463429,103.8065158,1,1,2,0,5,0,0,970000,462,1,1,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
2719,The Inflora,67 Flora Drive,1.355765247,103.9664564,0,0,0,0,0,2,0,800000,818,2,2,Condominium,2017,99-year Leasehold,1.534085096,3.1,FLORA DRIVE
2720,Aura 83,83 Duku Road,1.310967647,103.9062667,0,1,5,0,5,3,2,1150000,775,2,2,Condominium,2015,Freehold,1.534526267,0,KATONG
2721,360 Yishun Ring Road,360 Yishun Ring Road,1.427737475,103.8456859,0,1,3,0,5,1,0,650000,1571,3,3,HDB Flat,1988,99-year Leasehold,0,0, 
2722,Flamingo Valley,478 Siglap Road,1.318611071,103.922559,0,0,2,0,3,5,0,1980000,1845,2,2,Condominium,2015,Freehold,1.449304421,3.02,FRANKEL
2723,Melrose Ville,10 Rose Lane,1.310602376,103.8932638,1,2,4,0,5,2,3,800000,520,1,1,Apartment,2011,Freehold,1.4,0,GEYLANG EAST
2724,Urban Vista,12 Tanah Merah Kechil Link,1.327085481,103.9445133,1,1,3,0,4,5,1,880000,550,2,1,Condominium,2016,99-year Leasehold,2.800014287,3.64,BEDOK NORTH
2725,Flamingo Valley,476 Siglap Road,1.318110163,103.9223041,0,0,2,0,4,3,0,2650000,1593,4,4,Condominium,2015,Freehold,1.449304421,3.02,FRANKEL
2726,Airstream,26 St Michael's Road,1.327326614,103.8640356,0,0,0,0,5,1,0,1080000,796,1,2,Condominium,2014,Freehold,2.8,4.02,BENDEMEER
2727,Melinia Court,56 Lorong M Telok Kurau,1.310798925,103.9129044,0,0,3,0,5,2,0,1150000,926,2,2,Apartment,2000,Freehold,1.4,0,FRANKEL
2728,Kembangan Villas,8 Lengkong Tiga,1.323919799,103.9129681,1,0,1,0,5,4,0,3980000,2820,5,6,Corner Terrace,2004,Freehold,0,0, 
2729,Yong Seng Estate,Jalan Senang,1.325572395,103.9171842,1,0,1,0,5,5,0,5500000,5000,5,6,Semi-Detached House,2004,Freehold,0,0, 
2730,The Quartz,61 Compassvale Bow,1.38055399,103.8935609,1,0,3,0,5,0,0,1550000,1291,3,3,Condominium,2010,99-year Leasehold,3,2.42,COMPASSVALE
2731,Seastrand,17 Pasir Ris Link,1.376176256,103.9604884,0,0,1,0,5,0,1,610000,570,1,1,Condominium,2014,99-year Leasehold,2.1,2.72,PASIR RIS PARK
2732,Parc Riviera,103 West Coast Vale,1.320614301,103.7532909,0,0,0,0,1,0,0,1568000,1152,4,2,Condominium,0,99-year Leasehold,2.800033847,3.98,WEST COAST
2733,Principal Garden,95 Prince Charles Crescent,1.292546766,103.8216905,0,0,3,0,5,1,0,900000,484,1,1,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
2734,Loyang Villas,Loyang Rise,1.364158795,103.9676559,0,0,2,0,0,4,1,1930000,2500,4,5,Corner Terrace,1997,99-year Leasehold,0,0, 
2735,278A Compassvale Bow,278A Compassvale Bow,1.381880822,103.8902955,1,0,2,0,4,0,1,740000,1216,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2736,173D Punggol Field,173D Punggol Field,1.396007992,103.9107647,0,0,4,0,5,1,1,499000,1184,3,2,HDB Flat,2001,99-year Leasehold,0,0, 
2737,The Florida,70 Hougang Avenue 7,1.373183795,103.9003535,0,0,1,0,5,0,2,980000,1227,3,3,Condominium,2000,99-year Leasehold,3,0,KANGKAR
2738,Robin Residences,3 Robin Drive,1.318783631,103.8282067,1,0,1,0,4,2,0,1860000,710,2,2,Condominium,2016,Freehold,1.4,4.74,NASSIM
2739,Joo Chiat Place Conservation House,124 Joo Chiat Place,1.31372613,103.9038506,0,2,4,0,5,2,0,4480000,3600,7,8,Conservation House,0,Freehold,0,0, 
2740,Moonstone View,31 Moonstone Lane,1.327274166,103.8656105,1,0,0,0,5,1,0,1168000,851,2,2,Condominium,2000,Freehold,2.1,2.4,BENDEMEER
2741,432 Tampines Street 41,432 Tampines Street 41,1.358875714,103.9505355,1,0,3,0,5,1,1,588000,1313,3,2,HDB Flat,1985,99-year Leasehold,0,0, 
2742,East Village,430 Upper Changi Road,1.331775815,103.9462012,1,0,2,0,5,4,1,668888,441,1,1,Condominium,2014,Freehold,1.4,3.57,BEDOK NORTH
2743,Mayfair Gardens,10 Rifle Range Road,1.33862752,103.7814508,1,1,4,0,4,2,2,1026000,506,1,1,Condominium,0,99-year Leasehold,1.539999815,0,SWISS CLUB
2744,Mayfair Gardens,8 Rifle Range Road,1.338222486,103.781376,1,1,4,0,4,2,2,1550000,753,2,2,Condominium,0,99-year Leasehold,1.539999815,0,SWISS CLUB
2745,Brand New 2. 5 Storey Semi-D @ Tavistock Ave,Tavistock Avenue,1.370198574,103.8654823,0,2,1,0,4,1,1,5380000,5800,5,5,Semi-Detached House,0,999-year Leasehold,0,0, 
2746,Symphony Suites,3 Yishun Close,1.434768994,103.844173,0,0,4,0,5,0,1,970000,786,3,2,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
2747,Simei Green Condominium,11 Simei Street 4,1.340750786,103.9576341,2,0,1,0,4,3,1,1100000,1357,3,3,Condominium,1999,99-year Leasehold,2.3,0,SIMEI
2748,Archipelago,509 Bedok Reservoir,1.338332449,103.919527,1,0,2,0,5,2,0,999800,840,2,2,Condominium,2015,99-year Leasehold,1.400020604,2.86,BEDOK RESERVOIR
2749,Queens,10 Stirling Road,1.292996047,103.8056656,1,1,5,0,5,0,1,1350000,914,2,2,Condominium,2002,99-year Leasehold,4.9,3.16,MARGARET DRIVE
2750,Summerdale,2 Boon Lay Drive,1.342516992,103.7117341,1,1,3,0,5,1,2,1080000,1667,3,3,Condominium,2001,99-year Leasehold,2.8,0,BOON LAY PLACE
2751,Florence Road,Florence Road,1.364661386,103.8849496,1,1,1,0,5,4,1,3200000,3500,5,3,Terraced House,0,999-year Leasehold,0,0, 
2752,83 Whampoa Drive,83 Whampoa Drive,1.323574833,103.8570349,0,2,5,0,5,0,0,418000,979,3,2,HDB Flat,1973,99-year Leasehold,0,0, 
2753,JadeScape,12 Shunfu Road,1.352274454,103.8386549,1,1,1,0,5,4,0,2600000,1647,4,4,Condominium,0,99-year Leasehold,3.079999789,0,UPPER THOMSON
2754,137 Simei Street 1,137 Simei Street 1,1.347580094,103.9563105,1,0,3,0,5,1,1,590000,1313,3,2,HDB Flat,1987,99-year Leasehold,0,0, 
2755,Wilshire Residences,30 Farrer Road,1.313061613,103.8046476,1,1,0,0,4,1,0,2100000,840,3,2,Condominium,0,Freehold,1.807848046,0,TYERSALL
2756,???Eminence Landed??? D19 - Reno 2. 5 Sty Semi-D @ Tavistock Ave,Tavistock Avenue,1.370198574,103.8654823,0,2,1,0,4,1,1,4000000,3500,5,5,Semi-Detached House,0,999-year Leasehold,0,0, 
2757,Seahill,119 West Coast Crescent,1.298656689,103.7641136,0,1,1,0,2,2,0,1320000,861,2,2,Condominium,2019,99-year Leasehold,2.800034748,3.83,CLEMENTI WEST
2758,Seahill,119 West Coast Crescent,1.298656689,103.7641136,0,1,1,0,2,2,0,880000,506,1,1,Condominium,2019,99-year Leasehold,2.800034748,3.83,CLEMENTI WEST
2759,???Eminence Landed??? D19 - Brand New 2. 5 Sty Semi-D @ Alnwick,Alnwick Road,1.364692353,103.8682399,0,2,1,0,1,3,1,7750000,7500,6,7,Semi-Detached House,0,999-year Leasehold,0,0, 
2760,???Eminence Landed??? D19 - New Semi-D @ Tavistock,Tavistock Avenue,1.370198574,103.8654823,0,2,1,0,4,1,1,5380000,5692,4,5,Semi-Detached House,0,999-year Leasehold,0,0, 
2761,Haus@Serangoon Garden,Serangoon Garden Way,1.363274359,103.8713664,0,2,1,0,5,3,1,3100000,3700,5,6,Terraced House,2016,99-year Leasehold,0,0, 
2762,Mon Jervois,39 Jervois Road,1.293516216,103.8222354,0,0,2,0,3,0,0,4270400,2669,4,4,Condominium,2016,99-year Leasehold,1.400089306,3.8,CHATSWORTH
2763,Fort Gardens,21 Fort Road,1.299138573,103.884876,0,1,0,0,5,4,0,2300000,1442,3,2,Condominium,1993,Freehold,2.1,0,TANJONG RHU
2764,608 Clementi West Street 1,608 Clementi West Street 1,1.304341103,103.7665298,0,1,4,0,4,3,1,378000,721,2,2,HDB Flat,1978,99-year Leasehold,0,0, 
2765,33 Marine Crescent,33 Marine Crescent,1.302648966,103.9121848,0,2,1,0,5,1,0,375000,700,2,2,HDB Flat,1974,99-year Leasehold,0,0, 
2766,Tivoli Grande,126 Koon Seng Road,1.312652227,103.9061895,0,2,5,0,5,1,0,980000,700,2,1,Apartment,2014,Freehold,1.4,2.98,KATONG
2767,488D Choa Chu Kang Avenue 5,488D Choa Chu Kang Avenue 5,1.376422216,103.7405047,0,0,3,0,5,0,2,618888,1216,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2768,Parc Riviera,101 West Coast Vale,1.320817692,103.7526673,0,0,0,0,1,0,0,1000000,710,2,2,Condominium,0,99-year Leasehold,2.800033847,3.98,WEST COAST
2769,Parc Botannia,10 Fernvale Street,1.39858782,103.8746323,0,0,2,0,4,2,0,725000,506,1,1,Condominium,0,99-year Leasehold,3.000017446,0,FERNVALE
2770,Top Ten,134 Emerald Hill Road,1.304844227,103.8397053,1,0,4,0,4,2,5,5300000,3143,5,5,Apartment,1989,Freehold,0,0,CAIRNHILL
2771,36 Marsiling Drive,36 Marsiling Drive,1.445323796,103.7721927,0,2,0,0,5,0,0,460000,1335,3,2,HDB Flat,1977,99-year Leasehold,0,0, 
2772,Hillsta,66 Phoenix Road,1.376476535,103.7561813,1,0,4,0,5,2,2,958000,861,2,2,Condominium,2016,99-year Leasehold,2.100015599,3.26,GOMBAK
2773,298B Compassvale Street,298B Compassvale Street,1.395521675,103.902214,0,1,2,0,5,1,1,599999,1442,4,2,HDB Flat,1999,99-year Leasehold,0,0, 
2774,Robin Residences,Robin Residences,1.318982708,103.8281368,1,0,1,0,4,1,0,1298000,538,2,1,Condominium,2016,Freehold,1.4,4.74,NASSIM
2775,Twin Vew,91 West Coast Vale,1.320049382,103.7521613,0,0,0,0,1,0,0,1180000,731,2,2,Condominium,0,99-year Leasehold,2.800046403,0,WEST COAST
2776,Gerald Gardens,99 Gerald Drive,1.387566916,103.8759684,0,0,3,0,3,3,2,5600000,5000,5,4,Detached House,1990,999-year Leasehold,0,0, 
2777,The Woodleigh Residences,17 Bidadari Park Drive,1.338189918,103.8716277,2,0,1,0,3,0,0,1150000,570,2,1,Apartment,0,99-year Leasehold,3.500007861,0,BIDADARI
2778,Saraca Hill new bungalow with pool & lift,Saraca Hill,1.385430175,103.8647874,0,0,1,0,5,5,1,8380000,5800,6,7,Bungalow House,2015,Freehold,0,0, 
2779,"Saraca new built bungalow with designer decor , pool & lift. Renovated and move in condition!",Saraca Hill,1.385430175,103.8647874,0,0,1,0,5,5,1,9800000,5860,6,6,Bungalow House,2015,Freehold,0,0, 
2780,Lake Grande,2 Jurong Lake Link,1.345474491,103.7246234,1,2,3,0,5,0,0,1400000,947,3,3,Condominium,2020,99-year Leasehold,2.800011234,4.25,HONG KAH
2781,The Inflora,67 Flora Drive,1.355765247,103.9664564,0,0,0,0,0,2,0,747700,743,2,2,Condominium,2017,99-year Leasehold,1.534085096,3.1,FLORA DRIVE
2782,16 Toh Yi Drive,16 Toh Yi Drive,1.339408681,103.7726057,1,1,3,0,5,4,2,888000,1313,4,2,HDB Flat,1987,99-year Leasehold,0,0, 
2783,687C Choa Chu Kang Drive,687C Choa Chu Kang Drive,1.403685594,103.751205,1,0,0,0,5,0,1,500000,1184,3,2,HDB Flat,2000,99-year Leasehold,0,0, 
2784,The Legend,361 Bukit Timah Road,1.318281079,103.8293825,1,0,1,0,4,0,0,2420000,1496,2,2,Condominium,1996,Freehold,1.4,2.87,FRANKEL
2785,Concourse Skyline,296 Beach Road,1.300703934,103.8618611,4,2,2,0,3,3,4,2880000,1356,2,2,Condominium,2014,99-year Leasehold,0,4.4,NICOLL
2786,KAP RESIDENCES,11 King Albert Park,1.336842176,103.7793138,2,1,5,0,5,1,3,1288888,689,2,2,Condominium,2017,Freehold,3.097913204,3.92,HOLLAND ROAD
2787,??????LuxuryLandedTeam?????? Lim Tai See Walk,Lim Tai See Walk,1.322673374,103.7922707,0,0,0,0,0,2,0,5700000,2800,5,4,Semi-Detached House,1995,Freehold,0,0, 
2788,Westlake Gardens,100 Westlake Avenue,1.342777435,103.8362943,0,0,0,0,2,0,0,7500000,4000,5,5,Detached House,0,Freehold,0,0, 
2789,Jalan Bena,Jalan Bena,1.353816127,103.9696469,0,0,0,0,0,1,0,3500000,2400,4,3,Semi-Detached House,0,Freehold,0,0, 
2790,316 Jurong East Street 32,316 Jurong East Street 32,1.346006527,103.7320798,1,3,1,0,5,0,0,500000,1205,3,2,HDB Flat,1983,99-year Leasehold,0,0, 
2791,The Geranium,33 Mangis Road,1.312867993,103.9046075,0,1,4,0,5,2,0,1320000,1216,2,3,Apartment,2007,Freehold,1.4,0,GEYLANG EAST
2792,MEADOWLODGE,31 Chun Tin Road,1.341482011,103.7733789,1,1,3,0,5,2,2,1720000,1346,3,3,Condominium,2005,99-year Leasehold,1.399987306,0,ANAK BUKIT
2793,The Canopy,75 Yishun Avenue 11,1.424478419,103.8479621,0,1,3,0,5,1,0,880000,1033,2,2,Executive Condominium,2014,99-year Leasehold,2.8,0,YISHUN EAST
2794,141 Jalan Bukit Merah,141 Jalan Bukit Merah,1.277145597,103.8287389,0,1,2,0,4,0,0,468000,900,3,2,HDB Flat,1978,99-year Leasehold,0,0, 
2795,Floridian,965 Bukit Timah Road,1.333387194,103.7862668,1,0,2,0,5,1,0,3450000,1658,3,3,Condominium,2012,Freehold,2.07,3.81,HOLLAND ROAD
2796,Sennett Estate,Kee Choe Avenue,1.331455386,103.8730919,1,0,4,0,5,4,1,4499999,3646,5,6,Corner Terrace,1996,Freehold,0,0, 
2797,Sennett Residence,33 Pheng Geck Avenue,1.330874991,103.8694647,2,0,1,0,5,1,1,4780000,3671,5,4,Condominium,2016,99-year Leasehold,3.50008657,3.83,SENNETT
2798,Clavon,6 Clementi Avenue 1,1.308621351,103.7667962,0,3,3,0,4,3,2,1758000,1130,3,3,Condominium,0,99-year Leasehold,3.500033247,0,CLEMENTI WOODS
2799,Kingsford Waterbay,Upper Serangoon View,1.377433378,103.9037136,0,0,1,0,5,0,0,630000,474,1,1,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
2800,Sunville,22 Saint Michael's Road,1.326885496,103.8641332,0,0,0,0,5,1,0,1400000,1163,3,3,Condominium,2005,Freehold,2.8,0,BENDEMEER
2801,Citylights,80 Jellicoe Road,1.308275812,103.8631174,2,3,5,0,5,5,2,2300000,1356,3,2,Condominium,2007,99-year Leasehold,4.200010963,4.36,LAVENDER
2802,Clavon,8 Clementi Avenue 1,1.308512377,103.767086,0,1,2,0,4,2,1,2511000,1690,5,4,Condominium,0,99-year Leasehold,3.500033247,0,CLEMENTI WOODS
2803,Urban Vista,2 Tanah Merah Kechil Link,1.32766677,103.9447459,1,1,3,0,4,5,1,999000,1060,2,2,Condominium,2016,99-year Leasehold,2.800014287,3.64,BEDOK NORTH
2804,Kingsford Hillview Peak,101 Hillview Rise,1.364786511,103.7647636,1,0,2,0,2,1,2,1200000,829,2,2,Condominium,2016,99-year Leasehold,2.800015812,3.42,HILLVIEW
2805,668B Edgefield Plains,668B Edgefield Plains,1.404782919,103.9129785,0,0,5,0,5,1,1,748888,1216,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2806,663C Punggol Drive,663C Punggol Drive,1.400365494,103.9176319,0,0,5,0,5,2,1,690000,1184,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2807,Kallang Riverside,51 Kampong Bugis,1.307104742,103.8670878,1,1,4,0,4,1,1,1200000,517,1,1,Condominium,2019,Freehold,3.849545021,4.59,KAMPONG BUGIS
2808,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1288888,732,2,2,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
2809,FLO Residence,Punggol Field Walk,1.392967715,103.911962,0,0,2,0,5,0,1,900000,936,3,2,Condominium,2016,99-year Leasehold,3.4,2.57,PUNGGOL FIELD
2810,Pristine Heights,77 Mergui Road,1.316939354,103.8518951,1,1,3,0,5,0,2,2000000,1356,3,3,Apartment,2008,Freehold,2.8,0,KAMPONG JAVA
2811,The Hillford,176 Jalan Jurong Kechil,1.344293236,103.7694547,1,0,2,0,5,3,0,778000,658,2,2,Apartment,2017,,1.399988202,4.39,ANAK BUKIT
2812,The Quinn,11 Bartley Road,1.34403191,103.8728828,2,0,0,0,5,1,0,899000,560,2,1,Apartment,2016,Freehold,1.528940496,3.53,UPPER PAYA LEBAR
2813,Commonwealth Towers,232 Commonwealth Avenue,1.295463429,103.8065158,1,1,2,0,5,0,0,1880000,1055,3,3,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
2814,CITYLIFE@TAMPINES,55 Tampines Central 7,1.359975852,103.9411845,0,0,0,0,4,1,1,1380000,1184,3,3,Executive Condominium,2016,99-year Leasehold,2.8,0,TAMPINES EAST
2815,715 Bedok Reservoir Road,715 Bedok Reservoir Road,1.337429658,103.9231549,1,2,4,0,5,2,0,530000,1301,3,2,HDB Flat,1980,99-year Leasehold,0,0, 
2816,Riversails,4 Upper Serangoon Crescent,1.378033392,103.9024815,0,0,1,0,5,0,0,2250000,2400,3,4,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
2817,Rare Huge Freehold 3 storeys semi-D @ Rosyth Rd,Rosyth Road,1.362712177,103.8765358,0,0,0,0,5,3,0,5600000,5251,6,7,Semi-Detached House,0,Freehold,0,0, 
2818,8 Bassein,8 Bassein Road,1.32353748,103.8481082,1,1,5,0,5,0,2,850000,452,1,1,Condominium,2015,Freehold,2.8,4.87,BALESTIER
2819,Casa Al Mare,75 Jalan Loyang Besar,1.377856296,103.9570896,0,0,1,0,3,0,1,1270000,775,2,2,Apartment,0,Freehold,1.539999189,0,PASIR RIS PARK
2820,310C Punggol Walk,310C Punggol Walk,1.409710961,103.8998984,0,0,2,0,5,1,1,728000,1206,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2821,The Bayshore,34 Bayshore Road,1.31261384,103.939334,0,0,1,0,5,0,0,1100000,1012,2,2,Condominium,1999,99-year Leasehold,3.0000122,2.49,BAYSHORE
2822,The Bayshore,26 Bayshore Road,1.312453453,103.9381556,0,0,0,0,4,0,0,1300000,1184,3,3,Condominium,1999,99-year Leasehold,3.0000122,2.49,BAYSHORE
2823,Airstream,26 St Michael's Road,1.327326614,103.8640356,0,0,0,0,5,1,0,697000,495,2,1,Condominium,2014,Freehold,2.8,4.02,BENDEMEER
2824,Faber Crest,50A Faber Heights,1.323570722,103.7566656,0,0,0,0,2,2,0,1050000,1033,2,2,Condominium,2002,99-year Leasehold,1.400005401,2.4,FABER
2825,Parc Botannia,Fernvale Street,1.398442259,103.8790939,0,0,2,0,5,1,0,650800,431,1,1,Condominium,0,99-year Leasehold,3.000017446,0,FERNVALE
2826,75C Redhill Road,75C Redhill Road,1.289023143,103.816276,1,3,4,0,5,1,0,990000,1237,3,2,HDB Flat,2005,99-year Leasehold,0,0, 
2827,Mount Sinai Inter-Terrace,Mount Sinai,1.316121344,103.781762,0,0,3,0,5,4,0,4200000,2000,4,3,Terraced House,0,999-year Leasehold,0,0, 
2828,Melville Park,12 Simei Street 1,1.348086612,103.958789,0,0,0,0,0,2,0,780000,1044,2,2,Apartment,1996,99-year Leasehold,2,2.4,SIMEI
2829,Toh Estate,26 Toh Heights,1.364269318,103.971489,0,0,0,0,0,4,0,7500000,6500,6,6,Detached House,0,Freehold,0,0, 
2830,662C Edgedale Plains,662C Edgedale Plains,1.401391816,103.9185139,0,0,5,0,5,1,1,485000,989,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2831,662C Edgedale Plains,662C Edgedale Plains,1.401391816,103.9185139,0,0,5,0,5,1,1,718000,1205,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2832,122B Edgedale Plains,122B Edgedale Plains,1.394150091,103.909596,0,0,2,0,5,0,1,430000,731,2,2,HDB Flat,2016,99-year Leasehold,0,0, 
2833,18 Woodsville,18 Woodsville Close,1.329580442,103.8681883,1,0,1,0,5,2,1,920000,495,1,1,Condominium,2015,Freehold,2.786773686,3.55,POTONG PASIR
2834,18 Woodsville,18 Woodsville Close,1.329580442,103.8681883,1,0,1,0,5,2,1,1388000,818,2,2,Condominium,2015,Freehold,2.786773686,3.55,POTONG PASIR
2835,304 Woodlands Street 31,304 Woodlands Street 31,1.42989256,103.7738539,1,0,3,0,5,0,0,680000,1421,4,2,HDB Flat,1993,99-year Leasehold,0,0, 
2836,Leedon Green,28 Leedon Heights,1.313004519,103.8035679,1,1,0,0,4,1,0,3722000,1496,4,3,Condominium,0,Freehold,1.759999868,0,FARRER COURT
2837,Leedon Green,34 Leedon Heights,1.311463256,103.8031807,1,2,0,0,3,0,0,1238000,474,1,1,Condominium,0,Freehold,1.759999868,0,FARRER COURT
2838,Whistler Grand,107 West Coast Vale,1.320031287,103.7540103,0,0,0,0,1,0,0,1932800,1442,5,4,Condominium,0,99-year Leasehold,2.800040834,0,WEST COAST
2839,The Woodleigh Residences,13 Bidadari Park Drive,1.338214403,103.87209,1,0,0,0,2,0,0,2639000,1270,4,3,Apartment,0,99-year Leasehold,3.500007861,0,BIDADARI
2840,471B Fernvale Street,471B Fernvale Street,1.396498756,103.8804473,0,0,2,0,5,0,0,499999,1001,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2841,Parc Clematis,2 Jalan Lempeng,1.317106451,103.7589473,0,0,0,0,4,4,0,1427000,861,3,2,Condominium,0,99-year Leasehold,2.31,0,FABER
2842,The Topiary,13 Fernvale Lane,1.388815679,103.8723919,0,0,4,0,5,2,2,1030000,915,3,2,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
2843,Tree House,64 Chestnut Avenue,1.370074175,103.7763596,0,0,1,0,3,2,0,858000,743,2,2,Condominium,2014,99-year Leasehold,2.1,2.69,DAIRY FARM
2844,Citylights,80 Jellicoe Road,1.308275812,103.8631174,2,3,5,0,5,5,2,2099000,1313,3,3,Condominium,2007,99-year Leasehold,4.200010963,4.36,LAVENDER
2845,315A Punggol Way,315A Punggol Way,1.408316774,103.897053,0,0,3,0,5,0,1,550000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2846,Parc Canberra,3 Canberra Walk,1.447336759,103.8288299,1,0,2,0,5,1,1,903000,926,3,2,Executive Condominium,0,99-year Leasehold,2.5,0,SEMBAWANG EAST
2847,665A Punggol Drive,665A Punggol Drive,1.402127691,103.9135785,0,0,5,0,5,1,1,560000,1001,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2848,THE ARCADIA,235 Arcadia Road,1.333374744,103.8112756,0,0,0,0,0,0,0,4090000,3737,4,4,Condominium,1983,99-year Leasehold,1.6,2.3,HILLCREST
2849,351 Hougang Avenue 7,351 Hougang Avenue 7,1.371739811,103.899,0,0,2,0,5,1,2,560000,1324,3,2,HDB Flat,1984,99-year Leasehold,0,0, 
2850,Kingsford Waterbay,Upper Serangoon View,1.377433378,103.9037136,0,0,1,0,5,0,0,2100000,1625,3,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
2851,The Quinn,13 Bartley Road,1.344000707,103.8732237,2,0,0,0,5,0,0,720000,484,1,1,Apartment,2016,Freehold,1.528940496,3.53,UPPER PAYA LEBAR
2852,River Isles,Punggol Central,1.400221793,103.9092521,0,0,5,0,5,0,1,950000,893,3,2,Condominium,2016,99-year Leasehold,3,2.51,PUNGGOL FIELD
2853,15 1,Merryn Road,1.327524838,103.8220722,0,0,0,0,0,0,0,11000000,6000,5,6,Bungalow House,0,Freehold,0,0, 
